model,dim,niter,costp_l2,costq_l2,lrate,method,nn,normalize,rmse,precision_at_k,recall_at_k
LIBMF,200,30,0.05,0.05,0.03,,,,0.8684245387659132,0.03816666666666667,0.021187255976741308
LIBMF,200,30,0.05,0.1,0.03,,,,0.8685847574024673,0.01879999999999999,0.009074654915842483
LIBMF,200,50,0.05,0.1,0.03,,,,0.8698012177265002,0.024366666666666672,0.01486972043150755
LIBMF,200,50,0.1,0.05,0.03,,,,0.8698534448320638,0.04193333333333333,0.03834873108168121
LIBMF,100,50,0.05,0.1,0.03,,,,0.8707916304659962,0.014933333333333342,0.007053178427593175
LIBMF,200,50,0.1,0.1,0.03,,,,0.8708246855448587,0.015766666666666675,0.01284079271043144
LIBMF,200,80,0.1,0.1,0.03,,,,0.8708994447599431,0.013666666666666664,0.012404112496842448
LIBMF,100,80,0.1,0.05,0.03,,,,0.871066910608673,0.0336,0.03242880222067278
LIBMF,100,80,0.1,0.1,0.03,,,,0.8711677282063618,0.010966666666666668,0.009598235144635677
LIBMF,75,50,0.05,0.1,0.03,,,,0.8712632370309994,0.012366666666666665,0.005827929789488736
LIBMF,100,30,0.05,0.05,0.03,,,,0.8714973282263098,0.026100000000000016,0.012981550503943878
LIBMF,200,30,0.05,0.01,0.03,,,,0.8715444146517966,0.0566,0.03620983168508043
LIBMF,100,50,0.05,0.05,0.03,,,,0.8716205065182102,0.0334,0.01957694455564145
LIBMF,200,80,0.1,0.05,0.03,,,,0.8719605664752953,0.03940000000000001,0.03976795219319634
LIBMF,75,80,0.1,0.05,0.03,,,,0.8721409959731796,0.030366666666666674,0.028503868176830392
LIBMF,100,50,0.1,0.05,0.03,,,,0.8722878081735175,0.031866666666666654,0.028092500015059255
LIBMF,75,80,0.1,0.1,0.03,,,,0.8728150460407206,0.008999999999999998,0.007187099402363875
LIBMF,200,30,0.05,0.005,0.03,,,,0.872888143042057,0.05876666666666667,0.03776369456432281
LIBMF,200,50,0.05,0.05,0.03,,,,0.873108462695005,0.04536666666666667,0.030640049957654833
